id,hz,wood_participation,uniqueness,tag1_ratio,tag3_ratio,Q_mmr_base,selection_type
26,400.297978,0.000839,0.894428,0.000000,0.000839,0.881631,coverage_anchor
0,405.540907,0.000727,1.000000,0.000000,0.000727,1.000000,coverage_anchor
1,405.545391,0.000800,0.902237,0.000000,0.000800,0.890386,coverage_anchor
2,405.602035,0.000543,0.904559,0.000000,0.000543,0.892991,coverage_anchor
3,405.613823,0.000711,0.927284,0.000000,0.000711,0.918470,coverage_anchor
4,405.619052,0.000806,0.956407,0.000000,0.000806,0.951122,coverage_anchor
5,405.741189,0.000732,0.866286,0.000000,0.000732,0.850078,coverage_anchor
6,405.758625,0.000737,0.911616,0.000000,0.000737,0.900903,coverage_anchor
8,406.051883,0.000780,0.901563,0.000000,0.000780,0.889631,coverage_anchor
9,406.135151,0.000713,0.890687,0.000000,0.000713,0.877436,coverage_anchor
10,406.154103,0.000805,0.889234,0.000000,0.000805,0.875808,coverage_anchor
11,406.529127,0.000725,0.918091,0.000000,0.000725,0.908162,coverage_anchor
12,406.534542,0.000829,0.904227,0.000000,0.000829,0.892618,coverage_anchor
13,406.726119,0.000665,0.891206,0.000000,0.000665,0.878018,coverage_anchor
33,407.460048,0.000756,0.876809,0.000000,0.000756,0.861877,coverage_anchor
34,407.469075,0.000807,0.870353,0.000000,0.000807,0.854637,coverage_anchor
43,408.734718,0.000681,0.837231,0.000000,0.000681,0.817501,coverage_anchor
46,414.999218,0.000792,0.842930,0.000000,0.000792,0.823891,coverage_anchor
54,416.065839,0.000809,0.863713,0.000000,0.000809,0.847193,coverage_anchor
59,417.194522,0.000717,0.845184,0.000000,0.000717,0.826418,coverage_anchor
60,420.884131,0.000784,0.881631,0.000000,0.000784,0.867283,coverage_anchor
61,421.132666,0.000706,0.887636,0.000000,0.000706,0.874015,coverage_anchor
68,421.843352,0.000836,0.849799,0.000000,0.000836,0.831592,coverage_anchor
73,422.716491,0.000634,0.798249,0.000000,0.000634,0.773793,coverage_anchor
77,427.566682,0.000702,0.817930,0.000000,0.000702,0.795861,coverage_anchor
89,429.175805,0.000707,0.819273,0.000000,0.000707,0.797366,coverage_anchor
97,434.277304,0.000725,0.870246,0.000000,0.000725,0.854518,coverage_anchor
108,439.281681,0.000743,0.828034,0.000000,0.000743,0.807190,coverage_anchor
118,441.316404,0.000790,0.807137,0.000000,0.000790,0.783759,coverage_anchor
123,445.365840,0.000928,0.850302,0.000000,0.000928,0.832157,coverage_anchor
139,450.639672,0.000502,0.821352,0.000000,0.000502,0.799697,coverage_anchor
143,452.223186,0.000514,0.850160,0.000000,0.000514,0.831997,coverage_anchor
152,456.733345,0.000606,0.885009,0.000000,0.000606,0.871070,coverage_anchor
163,460.420167,0.000859,0.625077,0.000000,0.000859,0.579630,coverage_anchor
172,465.321869,0.000614,0.819813,0.000000,0.000614,0.797972,coverage_anchor
191,470.697734,0.001156,0.715267,0.000000,0.001156,0.680753,coverage_anchor
205,479.766981,0.000554,0.640070,0.000000,0.000554,0.596441,coverage_anchor
230,484.927440,0.000595,0.416872,0.000000,0.000595,0.346188,coverage_anchor
262,518.106659,0.000688,0.681501,0.000000,0.000688,0.642894,coverage_anchor
298,555.406383,0.000542,0.484625,0.000000,0.000542,0.422154,coverage_anchor
